광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,광고주명,광고회사명,광고제작사,실제재생초수,AISAC_URL
에스케이텔레콤 SKT GTAA : AI로 대한민국을 새롭게 하는 힘편,2024-07-26,30.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)메이트인디펜던스,60.06,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861840H01_1_24-TH-08-421
에스케이텔레콤 SKT GTAA : AI로 대한민국을 새롭게 하는 힘편,2024-07-26,30.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)메이트인디펜던스,60.06,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861840H01_1_24-TH-08-421
씨앤조이 체프리스커피 : 커피의 궁극적 진화편,2024-07-26,15.0,음료및기호식품,비알콜음료,"커피,코코아음료",씨앤조이,주식회사 피어스크리에이티브컴퍼니,주식회사 피어스크리에이티브컴퍼니,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860917H01_1_24-TH-07-864
씨앤조이 체프리스커피 : 커피의 궁극적 진화편,2024-07-26,15.0,음료및기호식품,비알콜음료,"커피,코코아음료",씨앤조이,주식회사 피어스크리에이티브컴퍼니,주식회사 피어스크리에이티브컴퍼니,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860917H01_1_24-TH-07-864
씨앤조이 체프리스커피 : 커피의 궁극적 진화편,2024-07-26,15.0,음료및기호식품,비알콜음료,"커피,코코아음료",씨앤조이,주식회사 피어스크리에이티브컴퍼니,주식회사 피어스크리에이티브컴퍼니,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860917H01_1_24-TH-07-864
소상공인방송정보원 카드형 온누리상품권 : 대한민국행복충전편,2024-07-26,15.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기타",재단법인소상공인방송정보원,한국언론진흥재단,소상공인방송정보원,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861297H01_1_24-TH-08-037
유니세프 출발점 : 이상우편,2024-07-26,60.0,관공서및단체,단체,민간단체,사단법인유니세프한국위원회,(주)대홍기획,대홍기획,60.06,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860961H01_1_24-TH-07-897
씨앤조이 체프리스커피 : 커피의 궁극적 진화편,2024-07-26,15.0,음료및기호식품,비알콜음료,"커피,코코아음료",씨앤조이,주식회사 피어스크리에이티브컴퍼니,주식회사 피어스크리에이티브컴퍼니,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860917H01_1_24-TH-07-864
씨앤조이 체프리스커피 : 커피의 궁극적 진화편,2024-07-26,15.0,음료및기호식품,비알콜음료,"커피,코코아음료",씨앤조이,주식회사 피어스크리에이티브컴퍼니,주식회사 피어스크리에이티브컴퍼니,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860917H01_1_24-TH-07-864
씨앤조이 체프리스커피 : 커피의 궁극적 진화편,2024-07-26,15.0,음료및기호식품,비알콜음료,"커피,코코아음료",씨앤조이,주식회사 피어스크리에이티브컴퍼니,주식회사 피어스크리에이티브컴퍼니,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860917H01_1_24-TH-07-864
엘지전자 SMART LIFE SOLUTION : 공간 미래를 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR,엘지전자(주),주식회사 에이치에스애드,(주)에이치에스애드,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861445H01_1_24-TH-08-150
엘지전자 SMART LIFE SOLUTION : 공간 미래를 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR,엘지전자(주),주식회사 에이치에스애드,(주)에이치에스애드,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861445H01_1_24-TH-08-150
엘지전자 SMART LIFE SOLUTION : 공간 미래를 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR,엘지전자(주),주식회사 에이치에스애드,(주)에이치에스애드,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861445H01_1_24-TH-08-150
에스케이텔레콤 SKT GTAA : AI로 대한민국을 새롭게 하는 힘편,2024-07-26,60.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)메이트인디펜던스,60.06,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861840H01_1_24-TH-08-421
에스케이텔레콤 SKT GTAA : AI로 대한민국을 새롭게 하는 힘편,2024-07-26,60.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)메이트인디펜던스,60.06,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861840H01_1_24-TH-08-421
에스케이텔레콤 SKT GTAA : AI로 대한민국을 새롭게 하는 힘편,2024-07-26,60.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)메이트인디펜던스,60.06,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861840H01_1_24-TH-08-421
엘지전자 SMART LIFE SOLUTION : 공간 미래를 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR,엘지전자(주),주식회사 에이치에스애드,(주)에이치에스애드,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861445H01_1_24-TH-08-150
엘지전자 SMART LIFE SOLUTION : 공간 미래를 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR,엘지전자(주),주식회사 에이치에스애드,(주)에이치에스애드,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861445H01_1_24-TH-08-150
엘지전자 SMART LIFE SOLUTION : 공간 미래를 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR,엘지전자(주),주식회사 에이치에스애드,(주)에이치에스애드,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861445H01_1_24-TH-08-150
코웨이 icon 얼음 정수기 : 종합편,2024-07-26,15.0,가정용전기전자,주방용전기전자,주방용전기전자기타,코웨이(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)차이커뮤니케이션,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860921H01_1_24-TH-07-865
아쿠아플라넷 키즈존 일산 : SUN넘는 즐거움편,2024-07-26,30.0,서비스,스포츠및오락시설,공원및테마파크,아쿠아플라넷주식회사,(주)크로스오버커뮤니케이션,부귀영화,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860953H01_1_24-TH-07-891
"월트디즈니컴퍼니코리아 스트리밍 : 폭군, 노웨이편",2024-07-26,15.0,서비스,서비스기타,서비스기타,월트디즈니컴퍼니코리아유한책임회사,레오버넷(주),레오버넷,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860935H01_1_24-TH-07-884
엘지전자 SMART LIFE SOLUTION : 공간 미래를 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR,엘지전자(주),주식회사 에이치에스애드,(주)에이치에스애드,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861445H01_1_24-TH-08-150
엘지전자 SMART LIFE SOLUTION : 공간 미래를 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR,엘지전자(주),주식회사 에이치에스애드,(주)에이치에스애드,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861445H01_1_24-TH-08-150
엘지전자 SMART LIFE SOLUTION : 공간 미래를 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR,엘지전자(주),주식회사 에이치에스애드,(주)에이치에스애드,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861445H01_1_24-TH-08-150
고리나코리아 PR : 챔피언들의 선택편,2024-07-26,15.0,서비스,스포츠및오락시설,스포츠및오락시설제품종합,고리나코리아,(주)와우매니지먼트그룹,(주)함파트너스,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860919H01_1_24-TH-07-863
고리나코리아 PR : 챔피언들의 선택편,2024-07-26,15.0,서비스,스포츠및오락시설,스포츠및오락시설제품종합,고리나코리아,(주)와우매니지먼트그룹,(주)함파트너스,,
웰빙플러스 노도하이라이트 : 가장 새로운편,2024-07-26,15.0,가정용품,주방용품,가스렌지 및 전기렌지,주식회사웰빙플러스,(주)제이커뮤니케이션,(주)제이커뮤니케이션,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860925H01_1_24-TH-07-886
씨앤조이 체프리스커피 : 커피의 궁극적 진화편,2024-07-26,30.0,음료및기호식품,비알콜음료,"커피,코코아음료",씨앤조이,주식회사 피어스크리에이티브컴퍼니,주식회사 피어스크리에이티브컴퍼니,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860917H01_1_24-TH-07-864
씨앤조이 체프리스커피 : 커피의 궁극적 진화편,2024-07-26,30.0,음료및기호식품,비알콜음료,"커피,코코아음료",씨앤조이,주식회사 피어스크리에이티브컴퍼니,주식회사 피어스크리에이티브컴퍼니,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860917H01_1_24-TH-07-864
씨앤조이 체프리스커피 : 커피의 궁극적 진화편,2024-07-26,30.0,음료및기호식품,비알콜음료,"커피,코코아음료",씨앤조이,주식회사 피어스크리에이티브컴퍼니,주식회사 피어스크리에이티브컴퍼니,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860917H01_1_24-TH-07-864
하늘별바다 하늘별바다펜션 : 당신의 인생 휴양지는편,2024-07-26,20.0,서비스,음식및숙박,음식및숙박기타,하늘별바다유한회사,(주)우일기획,(주)엠에스미디어,,
코웨이 코웨이icon정수기2 : 더 좋아졌네편,2024-07-26,15.0,가정용품,주방용품,정수기,코웨이(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860958H01_1_24-TH-07-895
LG전자 기업PR : 공간과 미래를 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR,엘지전자(주),주식회사 에이치에스애드,(주)에이치에스애드,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860939H01_1_24-TH-07-882
에스케이텔레콤 SKT GTAA : AI로 대한민국을 새롭게 하는 힘편,2024-07-25,60.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)메이트인디펜던스,60.06,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861840H01_1_24-TH-08-421
에스케이텔레콤 SKT GTAA : AI로 대한민국을 새롭게 하는 힘편,2024-07-25,60.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)메이트인디펜던스,60.06,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861840H01_1_24-TH-08-421
에스케이텔레콤 SKT GTAA : AI로 대한민국을 새롭게 하는 힘편,2024-07-25,60.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)메이트인디펜던스,60.06,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861840H01_1_24-TH-08-421
제주항공 발리 : 진짜 우리가 원하던 곳으로편,2024-07-25,15.0,수송기기,항공수송기기,항공기,(주)제주항공,주식회사 에이치에스애드,스튜디오 메카,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860844H01_1_24-TH-07-813
FIRSTFUNHONGKONG 라스트워 : 우린 항상 1위로 달려편,2024-07-25,15.0,컴퓨터및정보통신,컴퓨터게임,모바일게임,FIRSTFUNHONGKONGLIMITED,주식회사 아이브코리아,(주)에스비에스엠앤씨,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860889H01_1_24-TH-07-842
전남대학교산학협력단 조기취업형계약학과 : 수시 원서접수편,2024-07-25,20.0,교육및복지후생,교육기관,대학대학원,전남대학교산학협력단여수산학협력본부,한국언론진흥재단,(주)팝펀미디어,20.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860861H01_1_24-TH-07-830
로라엔터테인먼트 뱅뱅 : PRIVATE WINE PLACE편,2024-07-25,15.0,서비스,스포츠및오락시설,스포츠및오락시설기타,주식회사로라엔터테인먼트,피아이오컴퍼니,앤드모어,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860859H01_1_24-TX-07-068
에스케이텔레콤 SKT : GTAA 환영합니다편,2024-07-25,60.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)메이트인디펜던스,60.06,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860886H01_1_24-TH-07-833
에스케이텔레콤 SKT : GTAA 환영합니다편,2024-07-25,60.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)메이트인디펜던스,60.06,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860886H01_1_24-TH-07-833
제주항공 : 띄웁니다 일본발리 2차편,2024-07-25,30.0,수송기기,항공수송기기,항공기,(주)제주항공,주식회사 에이치에스애드,스튜디오 메카,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860847H01_1_24-TH-07-810
한국가스안전공사 가스안전캠페인 : 행복합니다편,2024-07-25,40.0,관공서및단체,관공서및단체기타,관공서및단체기업PR,한국가스안전공사,,,40.04,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860916H01_1_24-HC-07-089
케이티 KT 로밍 : 떠나자편,2024-07-25,15.0,컴퓨터및정보통신,통신망,이동통신,(주)케이티,(주)제일기획,제일기획,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860850H01_1_24-TH-07-822
삼성전자 SKT 갤럭시 폴더블6 : 보여드릴까요편,2024-07-25,60.0,컴퓨터및정보통신,통신기기,휴대폰,삼성전자(주),(주)제일기획,(주)에스엠컬처앤콘텐츠 광고사업부문,60.06,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860855H01_1_24-TH-07-814
삼성전자 SKT 갤럭시 Z Flip6 : 보여드릴까요편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰,삼성전자(주),(주)제일기획,(주)에스엠컬처앤콘텐츠 광고사업부문,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860854H01_1_24-TH-07-816
에스케이텔레콤 T우주패스 : 넷플릭스편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)메이트인디펜던스,60.06,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860913H01_1_24-TH-07-836
제주항공 : 띄웁니다 발리일본 2차편,2024-07-25,30.0,수송기기,항공수송기기,항공기,(주)제주항공,주식회사 에이치에스애드,스튜디오 메카,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860845H01_1_24-TH-07-811
케이비자산운용 KB자산운용 RISE ETF : 할까요편,2024-07-25,15.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR",케이비자산운용(주),주식회사 에이치에스애드,스튜디오 메카,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860848H01_1_24-TH-07-809
경남대학교 : 경남의 힘 25년 수시모집편,2024-07-25,20.0,교육및복지후생,교육기관,대학대학원,경남대학교,(주)경남미디어,(주)경남미디어,20.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860893H01_1_24-TH-07-838
웰빙플러스 노도하이라이트 : 만나보세요편,2024-07-25,20.0,가정용품,주방용품,가스렌지 및 전기렌지,주식회사웰빙플러스,(주)제이커뮤니케이션,(주)제이커뮤니케이션,20.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860864H01_1_24-TH-07-831
에스케이텔레콤 SKT : GTAA 환영합니다편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)메이트인디펜던스,60.06,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860886H01_1_24-TH-07-833
에스케이텔레콤 SKT : GTAA 환영합니다편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)메이트인디펜던스,60.06,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860886H01_1_24-TH-07-833
스마트인 파주운정가구단지 : 여름특가전편,2024-07-25,15.0,가정용품,가구류,가구류제품종합,스마트인,(주)움티안,(주) 움티안,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860863H01_1_24-TH-07-826
에스케이텔레콤 SKT : GTAA 환영합니다 F편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)메이트인디펜던스,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860887H01_1_24-TH-07-834
에스케이텔레콤 SKT 갤럭시 폴더블6 : 보여드릴까요편,2024-07-25,60.0,컴퓨터및정보통신,통신기기,휴대폰,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,60.06,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860857H01_1_24-TH-07-815
에스케이텔레콤 SKT 갤럭시 Z Flip6 : 육대급 혜택편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860856H01_1_24-TH-07-817
에스케이텔레콤 SKT 갤럭시 Z Flip6 : 육대급 혜택편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860856H01_1_24-TH-07-817
비케이알 버거킹 : 콰트로치즈 비프라구 와퍼편,2024-07-25,15.0,식품,제빵,"햄버거,피자및샌드위치",주식회사비케이알,(주)제일기획,제일기획,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860858H01_1_24-TX-07-070
월트디즈니 데드풀과 울버린 : 절찬 상영중편,2024-07-25,15.0,서비스,서비스기타,서비스기타,월트디즈니컴퍼니코리아유한책임회사,레오버넷(주),레오버넷,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860894H01_1_24-TX-07-071
에스케이텔레콤 T우주패스: 넷플릭스편,2024-07-25,60.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)메이트인디펜던스,60.06,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860913H01_1_24-TH-07-836
홈플러스 썸머 슈퍼세일 : 홈플런편,2024-07-25,15.0,유통,대형유통,대형유통제품종합,홈플러스(주),주식회사 에이치에스애드,(주)에이치에스애드,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860851H01_1_24-TH-07-821
에스케이텔레콤 SKT T 로밍 바로요금제 : 가족 모두 로밍 해결편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)메이트인디펜던스,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860879H01_1_24-TH-07-820
캐롯손해보험 캐롯 : 재가입률편,2024-07-25,15.0,"금융,보험및증권",금융및보험,손해보험,캐롯손해보험주식회사,(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861738H01_1_24-TH-08-372
캐롯손해보험 캐롯 : 재가입률편,2024-07-25,15.0,"금융,보험및증권",금융및보험,손해보험,캐롯손해보험주식회사,(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,,
캐롯손해보험 캐롯 : 재가입률편,2024-07-25,15.0,"금융,보험및증권",금융및보험,손해보험,캐롯손해보험주식회사,(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,,
퍼스트펀 라스트워 서바이벌 : 우린 항상 1위로 달려편,2024-07-25,15.0,컴퓨터및정보통신,컴퓨터게임,모바일게임,퍼스트펀,(주)에스비에스엠앤씨,(주)에스비에스엠앤씨,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860889H01_1_24-TH-07-842
케이티 KT 갤럭시 Z 플립6 : KT니까 괜찮아편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신,(주)케이티,(주)제일기획,제일기획,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860862H01_1_24-TH-07-825
제주항공 : 일본편,2024-07-25,15.0,수송기기,항공수송기기,항공기,(주)제주항공,주식회사 에이치에스애드,스튜디오 메카,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861986H01_1_24-TH-08-526
제주항공 : 일본편,2024-07-25,15.0,수송기기,항공수송기기,항공기,(주)제주항공,주식회사 에이치에스애드,스튜디오 메카,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861986H01_1_24-TH-08-526
케이티 KT 로밍 : 함께 쓰는 로밍편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신,(주)케이티,(주)제일기획,제일기획,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861102H01_1_24-TH-07-985
케이티 KT 로밍 : 함께 쓰는 로밍편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신,(주)케이티,(주)제일기획,제일기획,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861102H01_1_24-TH-07-985
에스케이텔레콤 SKT 갤럭시 Z Fold6 : 육대급 혜택편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860852H01_1_24-TH-07-818
에스케이텔레콤 SKT 갤럭시 Z Fold6 : 육대급 혜택편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860852H01_1_24-TH-07-818
에스케이텔레콤 SKT 갤럭시 Z Fold6 : 육대급 혜택편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860852H01_1_24-TH-07-818
에스케이텔레콤 SKT 갤럭시 Z Fold6 : 육대급 혜택편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860852H01_1_24-TH-07-818
정관장 알엑스진 피크업 : 남자의 성공테크닉편,2024-07-25,15.0,식품,건강식품,건강보조식품,정관장,,,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860881H01_1_24-HC-07-087
에스케이텔레콤 SKT 갤럭시 Z Fold6 : 육대급 혜택편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰,에스케이텔레콤,(주)제일기획,(주)에스엠컬처앤콘텐츠 광고사업부문,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860852H01_1_24-TH-07-818
에스케이텔레콤 SKT 갤럭시 Z Fold6 : 육대급 혜택편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰,에스케이텔레콤,(주)제일기획,(주)에스엠컬처앤콘텐츠 광고사업부문,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860852H01_1_24-TH-07-818
에스케이텔레콤 SKT 갤럭시 Z Fold6 : 육대급 혜택편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰,에스케이텔레콤,(주)제일기획,(주)에스엠컬처앤콘텐츠 광고사업부문,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860852H01_1_24-TH-07-818
에스케이텔레콤 SKT 갤럭시 Z Fold6 : 육대급 혜택편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰,에스케이텔레콤,(주)제일기획,(주)에스엠컬처앤콘텐츠 광고사업부문,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860852H01_1_24-TH-07-818
케이티  KT 로밍 : 함께 쓰는 로밍편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신,(주)케이티,(주)제일기획,제일기획,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861102H01_1_24-TH-07-985
케이씨씨건설 : KCC건설 기업PR 식구편1,2024-07-24,60.0,그룹및기업광고,기타광고,기타기업PR,(주)케이씨씨건설,(주)이노션,주식회사 이노션,60.06,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860744H01_1_24-TH-07-725
코웨이 : 상체 리클라이닝 안마베드,2024-07-24,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타,코웨이(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)차이커뮤니케이션,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860812H01_1_24-TH-07-782
롯데칠성음료 : 레몬진 탄산주 여름편,2024-07-24,15.0,음료및기호식품,알콜음료,알콜음료기타,롯데칠성음료(주),(주)대홍기획,대홍기획,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860788H01_1_24-TX-07-062
씨앤조이 : 체프리스 커피 프랜차이즈 문의,2024-07-24,30.0,음료및기호식품,비알콜음료,"커피,코코아음료",씨앤조이,주식회사 피어스크리에이티브컴퍼니,주식회사 피어스크리에이티브컴퍼니,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860764H01_1_24-TH-07-748
농협은행 : NH올원뱅크 달콤혜택 30초,2024-07-24,30.0,"금융,보험및증권",금융및보험,은행,농협은행주식회사,(주)딥다이브컴퍼니,뮤지엄컨텐츠,30.03,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860730H01_1_24-TH-07-731
삼성전자 : Galaxy Z시리즈 15초,2024-07-24,15.0,컴퓨터및정보통신,통신기기,휴대폰,삼성전자(주),(주)제일기획,제일기획,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860825H01_1_24-TH-07-793
케이티 :  KT 함께쓰는 로밍,2024-07-24,15.0,컴퓨터및정보통신,통신망,이동통신,(주)케이티,(주)제일기획,제일기획,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860761H01_1_24-TH-07-743
농협은행 : NH올원뱅크 달콤혜택 15초,2024-07-24,15.0,"금융,보험및증권",금융및보험,은행,농협은행주식회사,(주)딥다이브컴퍼니,뮤지엄컨텐츠,15.02,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861330H01_1_24-TH-08-055
